0,Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Emission_Norm,Engine_Location,Fuel_Tank_Capacity,Fuel_Type,Height,Length,Width,Body_Type,City_Mileage,Highway_Mileage,Kerb_Weight,Ground_Clearance,Front_Suspension,Rear_Suspension,Front_Track,Rear_Track,Power,torque,Seating_Capacity,Wheelbase,Boot_Space,Minimum_Turning_Radius,Number_of_Airbags
0,Tata,Nano Genx,Xt,292667,624,2,BS IV,"Rear, Transverse",24,Petrol,1652,3164,1750,Hatchback,23.6,0,660,180,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325,1315,38,51,4,2230,110,4,0
1,Tata,Nano Genx,Xe,236447,624,2,BS IV,"Rear, Transverse",24,Petrol,1652,3164,1750,Hatchback,23.6,0,725,180,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325,1315,38,51,4,2230,110,4,0
2,Tata,Nano Genx,Emax Xm,296661,624,2,BS IV,"Rear, Transverse",15,CNG,1652,3164,1750,Hatchback,0,0,710,180,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325,1315,38,51,4,2230,110,4,0
3,Tata,Nano Genx,Xta,334768,624,2,BS IV,"Rear, Transverse",24,Petrol,1652,3164,1750,Hatchback,23.6,0,725,180,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325,1315,38,51,4,2230,94,4,0
4,Tata,Nano Genx,Xm,272223,624,2,BS IV,"Rear, Transverse",24,Petrol,1652,3164,1750,Hatchback,23.6,0,725,180,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325,1315,38,51,4,2230,110,4,0
5,Tata,Nano Genx,Xma,314815,624,2,BS IV,"Rear, Transverse",24,Petrol,1652,3164,1750,Hatchback,23.6,0,710,180,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325,1315,38,51,4,2230,94,4,0
6,Datsun,Redi-Go,D,279650,799,3,BS IV,"Front, Transverse",28,Petrol,1541,3429,1560,Hatchback,21.38,24,0,185,Double Pivot Arm,H-type Torsion Beam,0,0,54,72,5,2348,222,4.7,0
7,Datsun,Redi-Go,T,351832,799,3,BS IV,"Front, Transverse",28,Petrol,1541,3429,1560,Hatchback,21.38,24,0,185,Double Pivot Arm,H-type Torsion Beam,0,0,54,72,5,2348,222,4.7,0
8,Datsun,Redi-Go,A,333419,799,3,BS IV,"Front, Transverse",28,Petrol,1541,3429,1560,Hatchback,21.38,24,0,185,Double Pivot Arm,H-type Torsion Beam,0,0,54,72,5,2348,222,4.7,0
9,Datsun,Redi-Go,S,362000,799,3,BS IV,"Front, Transverse",28,Petrol,1541,3429,1560,Hatchback,21.38,24,0,185,Double Pivot Arm,H-type Torsion Beam,0,0,54,72,5,2348,222,4.7,0
10,Datsun,Redi-Go,1.0 S,390000,999,3,BS IV,"Front, Transverse",28,Petrol,1541,3429,1560,Hatchback,0,0,0,185,Double Pivot Arm,H-type Torsion Beam,0,0,68,91,5,2348,222,4.7,0
11,Datsun,Redi-Go,1.0 S Amt,437065,999,3,BS IV,"Front, Transverse",28,Petrol,1541,3429,1560,Hatchback,0,0,0,185,Double Pivot Arm,H-type Torsion Beam,0,0,68,91,5,2348,222,4.7,0
12,Renault,Kwid,Rxe 0.8,353290,799,3,BS 6,"Front, Transverse",28,Petrol,1490,3731,1579,Hatchback,25.17,0,669,184,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,0,0,54,72,5,2422,300,0,1
